bowler,venue,wickets,economy
A Badoni,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,0
A Badoni,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,19
A Badoni,"Sawai Mansingh Stadium, Jaipur",0,6
A Kamboj,"Eden Gardens, Kolkata",1,7.67
A Kamboj,"Wankhede Stadium, Mumbai",1,11.43
A Mishra,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,6.73
A Mishra,"M Chinnaswamy Stadium, Bengaluru",1,9
A Mishra,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,11.5
A Mishra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.75
A Mishra,"Sawai Mansingh Stadium, Jaipur",0,8
A Nortje,"Arun Jaitley Stadium, Delhi",6,9.62
A Nortje,"Barsapara Cricket Stadium, Guwahati",0,11
A Nortje,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",3,12.62
A Nortje,"Himachal Pradesh Cricket Association Stadium, Dharamsala",3,9.25
A Nortje,"M Chinnaswamy Stadium, Bengaluru",0,7.5
A Nortje,"Narendra Modi Stadium, Ahmedabad",1,9.25
A Nortje,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,8.25
A Nortje,"Sawai Mansingh Stadium, Jaipur",1,12.5
A Nortje,"Wankhede Stadium, Mumbai",2,13.75
A Zampa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,6.5
A Zampa,"MA Chidambaram Stadium, Chepauk, Chennai",1,10.25
A Zampa,"Narendra Modi Stadium, Ahmedabad",2,8
A Zampa,"Sawai Mansingh Stadium, Jaipur",5,8.8
AD Russell,"Arun Jaitley Stadium, Delhi",0,10
AD Russell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,7.5
AD Russell,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,10.5
AD Russell,"Eden Gardens, Kolkata",12,11.91
AD Russell,"M Chinnaswamy Stadium, Bengaluru",4,7.25
AD Russell,"MA Chidambaram Stadium, Chepauk, Chennai",3,7.14
AD Russell,"Narendra Modi Stadium, Ahmedabad",1,10
AD Russell,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10
AD Russell,"Wankhede Stadium, Mumbai",2,9.8
AJ Hosein,"Arun Jaitley Stadium, Delhi",1,10.25
AK Markram,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7
AK Markram,"MA Chidambaram Stadium, Chepauk, Chennai",0,8.33
AK Markram,"Narendra Modi Stadium, Ahmedabad",0,13
AK Markram,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8
AK Markram,"Wankhede Stadium, Mumbai",0,6
AR Patel,"Arun Jaitley Stadium, Delhi",8,7.68
AR Patel,"Barsapara Cricket Stadium, Guwahati",0,9.5
AR Patel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,8.12
AR Patel,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,9.75
AR Patel,"Eden Gardens, Kolkata",2,6.25
AR Patel,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,9
AR Patel,"M Chinnaswamy Stadium, Bengaluru",1,8.17
AR Patel,"MA Chidambaram Stadium, Chepauk, Chennai",2,6.75
AR Patel,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,6.5
AR Patel,"Narendra Modi Stadium, Ahmedabad",1,4.88
AR Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,5.25
AR Patel,"Sawai Mansingh Stadium, Jaipur",1,5.25
AR Patel,"Wankhede Stadium, Mumbai",2,8.75
AS Joseph,"Arun Jaitley Stadium, Delhi",2,7
AS Joseph,"M Chinnaswamy Stadium, Bengaluru",1,12.33
AS Joseph,"MA Chidambaram Stadium, Chepauk, Chennai",0,11.45
AS Joseph,"Narendra Modi Stadium, Ahmedabad",4,9.42
AS Joseph,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,6.75
AS Joseph,"Wankhede Stadium, Mumbai",0,13
AS Roy,"Arun Jaitley Stadium, Delhi",2,4.25
AS Roy,"Eden Gardens, Kolkata",1,18.67
AS Roy,"M Chinnaswamy Stadium, Bengaluru",0,3
AS Roy,"MA Chidambaram Stadium, Chepauk, Chennai",0,10.8
AS Roy,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.33
AU Rashid,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,7.67
AU Rashid,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,8.25
Abhishek Sharma,"Arun Jaitley Stadium, Delhi",1,8.67
Abhishek Sharma,"M Chinnaswamy Stadium, Bengaluru",0,10
Abhishek Sharma,"MA Chidambaram Stadium, Chepauk, Chennai",2,6
Abhishek Sharma,"Narendra Modi Stadium, Ahmedabad",0,12
Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.88
Abhishek Sharma,"Sawai Mansingh Stadium, Jaipur",0,8
Akash Deep,"Eden Gardens, Kolkata",0,12
Akash Deep,"M Chinnaswamy Stadium, Bengaluru",1,9.67
Akash Deep,"Wankhede Stadium, Mumbai",1,15.14
Akash Madhwal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7.25
Akash Madhwal,"MA Chidambaram Stadium, Chepauk, Chennai",7,2.22
Akash Madhwal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,11.68
Akash Madhwal,"Narendra Modi Stadium, Ahmedabad",2,11.25
Akash Madhwal,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,12
Akash Madhwal,"Wankhede Stadium, Mumbai",11,9.48
Akash Singh,"Eden Gardens, Kolkata",1,7
Akash Singh,"M Chinnaswamy Stadium, Bengaluru",1,11.67
Akash Singh,"MA Chidambaram Stadium, Chepauk, Chennai",3,9
Akash Singh,"Sawai Mansingh Stadium, Jaipur",0,16
Arjun Tendulkar,"Narendra Modi Stadium, Ahmedabad",1,4.5
Arjun Tendulkar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,6
Arjun Tendulkar,"Wankhede Stadium, Mumbai",1,10.5
Arshad Khan,"Arun Jaitley Stadium, Delhi",1,12.75
Arshad Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,10.74
Arshad Khan,"M Chinnaswamy Stadium, Bengaluru",1,10.71
Arshad Khan,"MA Chidambaram Stadium, Chepauk, Chennai",0,16.8
Arshad Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,11.75
Arshad Khan,"Wankhede Stadium, Mumbai",3,10.47
Arshad Khan (2),"Eden Gardens, Kolkata",0,11.5
Arshdeep Singh,"Arun Jaitley Stadium, Delhi",0,8
Arshdeep Singh,"Barsapara Cricket Stadium, Guwahati",3,9.5
Arshdeep Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,8.5
Arshdeep Singh,"Eden Gardens, Kolkata",3,9.75
Arshdeep Singh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,10.62
Arshdeep Singh,"M Chinnaswamy Stadium, Bengaluru",0,11.7
Arshdeep Singh,"MA Chidambaram Stadium, Chepauk, Chennai",3,10.12
Arshdeep Singh,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",8,8.71
Arshdeep Singh,"Narendra Modi Stadium, Ahmedabad",0,9.25
Arshdeep Singh,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",7,10.78
Arshdeep Singh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,8.14
Arshdeep Singh,"Wankhede Stadium, Mumbai",4,7
Atharva Taide,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,24
Avesh Khan,"Arun Jaitley Stadium, Delhi",0,21
Avesh Khan,"Barsapara Cricket Stadium, Guwahati",2,7.3
Avesh Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,7.71
Avesh Khan,"Eden Gardens, Kolkata",2,9.5
Avesh Khan,"M Chinnaswamy Stadium, Bengaluru",0,13.75
Avesh Khan,"MA Chidambaram Stadium, Chepauk, Chennai",6,7.78
Avesh Khan,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,8.75
Avesh Khan,"Narendra Modi Stadium, Ahmedabad",4,9.88
Avesh Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,14
Avesh Khan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,11
Avesh Khan,"Sawai Mansingh Stadium, Jaipur",7,9.17
Avesh Khan,"Wankhede Stadium, Mumbai",1,7.5
Azmatullah Omarzai,"Arun Jaitley Stadium, Delhi",0,8.5
Azmatullah Omarzai,"MA Chidambaram Stadium, Chepauk, Chennai",0,10
Azmatullah Omarzai,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,6.5
Azmatullah Omarzai,"Narendra Modi Stadium, Ahmedabad",4,9.33
B Kumar,"Arun Jaitley Stadium, Delhi",2,9.12
B Kumar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,7
B Kumar,"Eden Gardens, Kolkata",1,9.12
B Kumar,"M Chinnaswamy Stadium, Bengaluru",0,14
B Kumar,"MA Chidambaram Stadium, Chepauk, Chennai",1,9.73
B Kumar,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,7.75
B Kumar,"Narendra Modi Stadium, Ahmedabad",6,8.09
B Kumar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",14,8.54
B Kumar,"Sawai Mansingh Stadium, Jaipur",1,10.5
B Kumar,"Wankhede Stadium, Mumbai",2,7
BA Stokes,"MA Chidambaram Stadium, Chepauk, Chennai",0,18
C Green,"Arun Jaitley Stadium, Delhi",0,9.67
C Green,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,8.5
C Green,"Eden Gardens, Kolkata",2,8.5
C Green,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,16
C Green,"M Chinnaswamy Stadium, Bengaluru",5,8.41
C Green,"MA Chidambaram Stadium, Chepauk, Chennai",3,6.71
C Green,"Narendra Modi Stadium, Ahmedabad",2,12
C Green,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,7.5
C Green,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,7
C Green,"Sawai Mansingh Stadium, Jaipur",0,8.21
C Green,"Wankhede Stadium, Mumbai",4,8.25
C Sakariya,"Arun Jaitley Stadium, Delhi",1,7.5
C Sakariya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,12.5
CJ Jordan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,12
CJ Jordan,"MA Chidambaram Stadium, Chepauk, Chennai",1,3.5
CJ Jordan,"Narendra Modi Stadium, Ahmedabad",0,12.75
CJ Jordan,"Wankhede Stadium, Mumbai",2,10.5
CV Varun,"Arun Jaitley Stadium, Delhi",2,4.25
CV Varun,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,10
CV Varun,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",3,8.64
CV Varun,"Eden Gardens, Kolkata",20,8.93
CV Varun,"M Chinnaswamy Stadium, Bengaluru",3,7.83
CV Varun,"MA Chidambaram Stadium, Chepauk, Chennai",3,7.2
CV Varun,"Narendra Modi Stadium, Ahmedabad",2,7.5
CV Varun,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,6.5
CV Varun,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6
CV Varun,"Wankhede Stadium, Mumbai",3,7.38
D Jansen,"Wankhede Stadium, Mumbai",1,12.25
D Pretorius,"Wankhede Stadium, Mumbai",0,6.25
D Wiese,"Eden Gardens, Kolkata",0,12.67
DG Nalkande,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,10.5
DG Nalkande,"MA Chidambaram Stadium, Chepauk, Chennai",1,11
DG Nalkande,"Narendra Modi Stadium, Ahmedabad",1,8.12
DJ Hooda,"Arun Jaitley Stadium, Delhi",0,8
DJ Hooda,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7
DJ Mitchell,"MA Chidambaram Stadium, Chepauk, Chennai",1,8.5
DJ Mitchell,"Narendra Modi Stadium, Ahmedabad",0,12.75
DJ Willey,"Eden Gardens, Kolkata",2,3.75
DJ Willey,"M Chinnaswamy Stadium, Bengaluru",2,7.91
DL Chahar,"Arun Jaitley Stadium, Delhi",3,5.5
DL Chahar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,9.57
DL Chahar,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,10.5
DL Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",13,8.04
DL Chahar,"Narendra Modi Stadium, Ahmedabad",1,8.88
DL Chahar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10.11
DL Chahar,"Wankhede Stadium, Mumbai",0,10
Fazalhaq Farooqi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,4.33
Fazalhaq Farooqi,"Narendra Modi Stadium, Ahmedabad",1,10
Fazalhaq Farooqi,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,9.55
G Coetzee,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,10
G Coetzee,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",3,7
G Coetzee,"Narendra Modi Stadium, Ahmedabad",2,7.25
G Coetzee,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,13.5
G Coetzee,"Sawai Mansingh Stadium, Jaipur",0,11
G Coetzee,"Wankhede Stadium, Mumbai",6,10.36
GD Phillips,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.67
GJ Maxwell,"Arun Jaitley Stadium, Delhi",0,9
GJ Maxwell,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,3
GJ Maxwell,"M Chinnaswamy Stadium, Bengaluru",7,8.28
GJ Maxwell,"MA Chidambaram Stadium, Chepauk, Chennai",0,7
GJ Maxwell,"Narendra Modi Stadium, Ahmedabad",1,9.33
GJ Maxwell,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,5
GJ Maxwell,"Sawai Mansingh Stadium, Jaipur",1,3
GJ Maxwell,"Wankhede Stadium, Mumbai",0,17
Gulbadin Naib,"Arun Jaitley Stadium, Delhi",0,12
Gurnoor Brar,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,12.67
H Sharma,"M Chinnaswamy Stadium, Bengaluru",0,11
H Sharma,"Sawai Mansingh Stadium, Jaipur",0,14.5
HH Pandya,"Arun Jaitley Stadium, Delhi",0,12.6
HH Pandya,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,6.4
HH Pandya,"Eden Gardens, Kolkata",0,11.17
HH Pandya,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,7.5
HH Pandya,"Narendra Modi Stadium, Ahmedabad",2,9.47
HH Pandya,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.5
HH Pandya,"Sawai Mansingh Stadium, Jaipur",1,11
HH Pandya,"Wankhede Stadium, Mumbai",8,10.86
HR Shokeen,"Arun Jaitley Stadium, Delhi",1,9
HR Shokeen,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7
HR Shokeen,"M Chinnaswamy Stadium, Bengaluru",0,17
HR Shokeen,"MA Chidambaram Stadium, Chepauk, Chennai",0,17
HR Shokeen,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,12
HR Shokeen,"Wankhede Stadium, Mumbai",2,8.44
HV Patel,"Arun Jaitley Stadium, Delhi",1,15.5
HV Patel,"Barsapara Cricket Stadium, Guwahati",3,6.75
HV Patel,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,8.04
HV Patel,"Eden Gardens, Kolkata",3,14
HV Patel,"Himachal Pradesh Cricket Association Stadium, Dharamsala",6,7.5
HV Patel,"M Chinnaswamy Stadium, Bengaluru",10,9.45
HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",0,7
HV Patel,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",14,8.59
HV Patel,"Narendra Modi Stadium, Ahmedabad",1,10.25
HV Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,4.5
HV Patel,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,9.38
HV Patel,"Wankhede Stadium, Mumbai",0,12.27
Harpreet Brar,"Arun Jaitley Stadium, Delhi",4,7.25
Harpreet Brar,"Barsapara Cricket Stadium, Guwahati",0,8.33
Harpreet Brar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,6
Harpreet Brar,"Eden Gardens, Kolkata",1,8.33
Harpreet Brar,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,14
Harpreet Brar,"M Chinnaswamy Stadium, Bengaluru",2,4.25
Harpreet Brar,"MA Chidambaram Stadium, Chepauk, Chennai",2,4
Harpreet Brar,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,8.29
Harpreet Brar,"Narendra Modi Stadium, Ahmedabad",1,8.25
Harpreet Brar,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,8
Harpreet Brar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,9.41
Harpreet Brar,"Wankhede Stadium, Mumbai",0,7.5
Harshit Rana,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,7.26
Harshit Rana,"Eden Gardens, Kolkata",17,9.58
Harshit Rana,"M Chinnaswamy Stadium, Bengaluru",2,9.5
Harshit Rana,"MA Chidambaram Stadium, Chepauk, Chennai",2,7
Harshit Rana,"Narendra Modi Stadium, Ahmedabad",1,6.5
Harshit Rana,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6.75
I Sharma,"Arun Jaitley Stadium, Delhi",8,8.45
I Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,8
I Sharma,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,10.67
I Sharma,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,10
I Sharma,"M Chinnaswamy Stadium, Bengaluru",1,9.33
I Sharma,"MA Chidambaram Stadium, Chepauk, Chennai",0,11
I Sharma,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,6.5
I Sharma,"Narendra Modi Stadium, Ahmedabad",5,4.67
I Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,6
I Sharma,"Wankhede Stadium, Mumbai",0,10.67
J Little,"Arun Jaitley Stadium, Delhi",0,6.75
J Little,"Eden Gardens, Kolkata",2,6.25
J Little,"M Chinnaswamy Stadium, Bengaluru",4,11
J Little,"Narendra Modi Stadium, Ahmedabad",3,10.22
J Little,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,7.25
J Little,"Sawai Mansingh Stadium, Jaipur",1,6
J Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,6.5
JA Richardson,"Wankhede Stadium, Mumbai",0,9.5
JC Archer,"M Chinnaswamy Stadium, Bengaluru",0,8.25
JC Archer,"MA Chidambaram Stadium, Chepauk, Chennai",0,6
JC Archer,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,13
JC Archer,"Wankhede Stadium, Mumbai",2,9.12
JD Unadkat,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,9.67
JD Unadkat,"M Chinnaswamy Stadium, Bengaluru",1,15.5
JD Unadkat,"MA Chidambaram Stadium, Chepauk, Chennai",1,8.33
JD Unadkat,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,11.5
JD Unadkat,"Narendra Modi Stadium, Ahmedabad",0,10.42
JD Unadkat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",6,8.94
JE Root,"Eden Gardens, Kolkata",0,7.5
JJ Bumrah,"Arun Jaitley Stadium, Delhi",1,6.75
JJ Bumrah,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,4.25
JJ Bumrah,"Eden Gardens, Kolkata",3,10
JJ Bumrah,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",3,4.75
JJ Bumrah,"Narendra Modi Stadium, Ahmedabad",3,3.75
JJ Bumrah,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,8.25
JJ Bumrah,"Sawai Mansingh Stadium, Jaipur",0,8.5
JJ Bumrah,"Wankhede Stadium, Mumbai",11,5.33
JO Holder,"Barsapara Cricket Stadium, Guwahati",2,8.14
JO Holder,"M Chinnaswamy Stadium, Bengaluru",0,8.5
JO Holder,"MA Chidambaram Stadium, Chepauk, Chennai",0,12.33
JO Holder,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5.33
JO Holder,"Sawai Mansingh Stadium, Jaipur",1,11
JO Holder,"Wankhede Stadium, Mumbai",0,15.14
JP Behrendorff,"Arun Jaitley Stadium, Delhi",4,7.67
JP Behrendorff,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,7.75
JP Behrendorff,"M Chinnaswamy Stadium, Bengaluru",0,12.33
JP Behrendorff,"MA Chidambaram Stadium, Chepauk, Chennai",0,7.67
JP Behrendorff,"Narendra Modi Stadium, Ahmedabad",1,7.88
JP Behrendorff,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,8
JP Behrendorff,"Wankhede Stadium, Mumbai",7,10.12
JR Hazlewood,"Arun Jaitley Stadium, Delhi",1,8.67
JR Hazlewood,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,4.67
JR Hazlewood,"Wankhede Stadium, Mumbai",0,10.33
K Gowtham,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,6.2
K Gowtham,"Eden Gardens, Kolkata",1,6
K Gowtham,"MA Chidambaram Stadium, Chepauk, Chennai",0,14
