bowler,venue,wickets,economy
PP Chawla,"MA Chidambaram Stadium, Chepauk, Chennai",4,6.88
PP Chawla,"Narendra Modi Stadium, Ahmedabad",3,10.3
PP Chawla,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,7.25
PP Chawla,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,12.83
PP Chawla,"Sawai Mansingh Stadium, Jaipur",1,8.25
PP Chawla,"Wankhede Stadium, Mumbai",14,7.93
PVD Chameera,"Eden Gardens, Kolkata",0,16
PWH de Silva,"Arun Jaitley Stadium, Delhi",0,8
PWH de Silva,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,5
PWH de Silva,"M Chinnaswamy Stadium, Bengaluru",4,8.85
PWH de Silva,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,9.75
PWH de Silva,"Wankhede Stadium, Mumbai",2,12.75
R Ashwin,"Arun Jaitley Stadium, Delhi",3,6
R Ashwin,"Barsapara Cricket Stadium, Guwahati",4,6.42
R Ashwin,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,8.5
R Ashwin,"Eden Gardens, Kolkata",0,9
R Ashwin,"M Chinnaswamy Stadium, Bengaluru",1,8.75
R Ashwin,"MA Chidambaram Stadium, Chepauk, Chennai",4,8.33
R Ashwin,"Narendra Modi Stadium, Ahmedabad",2,6.88
R Ashwin,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.5
R Ashwin,"Sawai Mansingh Stadium, Jaipur",6,7.94
R Ashwin,"Wankhede Stadium, Mumbai",2,6.5
R Dhawan,"Arun Jaitley Stadium, Delhi",0,10
R Dhawan,"Eden Gardens, Kolkata",0,7.5
R Dhawan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,9.75
R Dhawan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,12.67
R Goyal,"MA Chidambaram Stadium, Chepauk, Chennai",0,8.5
R Parag,"Arun Jaitley Stadium, Delhi",0,8
R Parag,"Sawai Mansingh Stadium, Jaipur",0,10
R Powell,"Barsapara Cricket Stadium, Guwahati",1,8
R Ravindra,"MA Chidambaram Stadium, Chepauk, Chennai",0,4
R Ravindra,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,3
R Sai Kishore,"Arun Jaitley Stadium, Delhi",0,22
R Sai Kishore,"MA Chidambaram Stadium, Chepauk, Chennai",1,8.67
R Sai Kishore,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",4,8
R Sai Kishore,"Narendra Modi Stadium, Ahmedabad",2,7.71
R Shepherd,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,10.5
R Shepherd,"Wankhede Stadium, Mumbai",2,13.6
R Tewatia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7
R Tewatia,"Narendra Modi Stadium, Ahmedabad",0,6
RA Jadeja,"Arun Jaitley Stadium, Delhi",1,12.25
RA Jadeja,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,7
RA Jadeja,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,10.75
RA Jadeja,"Eden Gardens, Kolkata",1,11.33
RA Jadeja,"Himachal Pradesh Cricket Association Stadium, Dharamsala",3,5
RA Jadeja,"M Chinnaswamy Stadium, Bengaluru",0,11
RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",15,6.18
RA Jadeja,"Narendra Modi Stadium, Ahmedabad",2,9.6
RA Jadeja,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,7.5
RA Jadeja,"Sawai Mansingh Stadium, Jaipur",1,7.75
RA Jadeja,"Wankhede Stadium, Mumbai",3,7.12
RD Chahar,"Arun Jaitley Stadium, Delhi",2,4
RD Chahar,"Barsapara Cricket Stadium, Guwahati",2,7.12
RD Chahar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,11.5
RD Chahar,"Eden Gardens, Kolkata",3,7
RD Chahar,"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,8.66
RD Chahar,"M Chinnaswamy Stadium, Bengaluru",0,16
RD Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",3,6.38
RD Chahar,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,8.25
RD Chahar,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,7.56
RD Chahar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,10
RD Chahar,"Wankhede Stadium, Mumbai",0,10.5
RJ Gleeson,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,9.75
RJ Gleeson,"MA Chidambaram Stadium, Chepauk, Chennai",1,7.57
RJW Topley,"M Chinnaswamy Stadium, Bengaluru",3,11.8
RJW Topley,"Sawai Mansingh Stadium, Jaipur",2,6.5
RJW Topley,"Wankhede Stadium, Mumbai",0,11
RP Meredith,"Arun Jaitley Stadium, Delhi",2,7.64
RP Meredith,"Narendra Modi Stadium, Ahmedabad",1,11.75
RP Meredith,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,7.5
RP Meredith,"Wankhede Stadium, Mumbai",2,11.12
RS Hangargekar,"MA Chidambaram Stadium, Chepauk, Chennai",0,10.5
RS Hangargekar,"Narendra Modi Stadium, Ahmedabad",3,8
Ramandeep Singh,"Eden Gardens, Kolkata",0,13.5
Rashid Khan,"Arun Jaitley Stadium, Delhi",3,8.25
Rashid Khan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,7.62
Rashid Khan,"Eden Gardens, Kolkata",0,13.25
Rashid Khan,"M Chinnaswamy Stadium, Bengaluru",1,8.65
Rashid Khan,"MA Chidambaram Stadium, Chepauk, Chennai",3,10.75
Rashid Khan,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,3.75
Rashid Khan,"Narendra Modi Stadium, Ahmedabad",18,8.89
Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,6.75
Rashid Khan,"Sawai Mansingh Stadium, Jaipur",5,3.75
Rashid Khan,"Wankhede Stadium, Mumbai",4,7.5
Rasikh Salam,"Arun Jaitley Stadium, Delhi",7,10
Rasikh Salam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,14.4
Rasikh Salam,"Eden Gardens, Kolkata",0,12
Rasikh Salam,"M Chinnaswamy Stadium, Bengaluru",2,6.67
Ravi Bishnoi,"Arun Jaitley Stadium, Delhi",1,6.5
Ravi Bishnoi,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",15,7.48
Ravi Bishnoi,"Eden Gardens, Kolkata",2,5.85
Ravi Bishnoi,"M Chinnaswamy Stadium, Bengaluru",0,9.86
Ravi Bishnoi,"MA Chidambaram Stadium, Chepauk, Chennai",3,7.5
Ravi Bishnoi,"Narendra Modi Stadium, Ahmedabad",0,10
Ravi Bishnoi,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,10
Ravi Bishnoi,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,14.25
Ravi Bishnoi,"Sawai Mansingh Stadium, Jaipur",2,7.5
Ravi Bishnoi,"Wankhede Stadium, Mumbai",2,9.25
S Dube,"MA Chidambaram Stadium, Chepauk, Chennai",1,14
S Gopal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,13
S Gopal,"Wankhede Stadium, Mumbai",2,8.2
S Joseph,"Eden Gardens, Kolkata",0,10
S Sandeep Warrier,"Arun Jaitley Stadium, Delhi",3,4.67
S Sandeep Warrier,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,14
S Sandeep Warrier,"Narendra Modi Stadium, Ahmedabad",3,12
SH Johnson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,8.75
SH Johnson,"MA Chidambaram Stadium, Chepauk, Chennai",1,8.75
SH Johnson,"Narendra Modi Stadium, Ahmedabad",3,11.25
SH Johnson,"Sawai Mansingh Stadium, Jaipur",0,9.25
SM Curran,"Arun Jaitley Stadium, Delhi",0,9
SM Curran,"Barsapara Cricket Stadium, Guwahati",3,9.86
SM Curran,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6,7.12
SM Curran,"Eden Gardens, Kolkata",1,14.71
SM Curran,"Himachal Pradesh Cricket Association Stadium, Dharamsala",5,10.73
SM Curran,"M Chinnaswamy Stadium, Bengaluru",1,10
SM Curran,"MA Chidambaram Stadium, Chepauk, Chennai",1,11.29
SM Curran,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",7,8.73
SM Curran,"Narendra Modi Stadium, Ahmedabad",0,9.5
SM Curran,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",3,10.34
SM Curran,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,4.67
SM Curran,"Wankhede Stadium, Mumbai",0,13.33
SN Thakur,"Eden Gardens, Kolkata",3,12
SN Thakur,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,7.5
SN Thakur,"M Chinnaswamy Stadium, Bengaluru",2,15.5
SN Thakur,"MA Chidambaram Stadium, Chepauk, Chennai",3,8.71
SN Thakur,"Narendra Modi Stadium, Ahmedabad",0,9.57
SN Thakur,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,9.5
SN Thakur,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,7.67
SN Thakur,"Wankhede Stadium, Mumbai",1,9.83
SP Narine,"Arun Jaitley Stadium, Delhi",0,9
SP Narine,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,5.25
SP Narine,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",1,7.5
SP Narine,"Eden Gardens, Kolkata",14,6.6
SP Narine,"M Chinnaswamy Stadium, Bengaluru",1,10.25
SP Narine,"MA Chidambaram Stadium, Chepauk, Chennai",4,5.42
SP Narine,"Narendra Modi Stadium, Ahmedabad",5,9
SP Narine,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,9.75
SP Narine,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,8
SP Narine,"Wankhede Stadium, Mumbai",2,8.57
SSB Magala,"MA Chidambaram Stadium, Chepauk, Chennai",0,6.5
SSB Magala,"Wankhede Stadium, Mumbai",1,9.5
SZ Mulani,"Narendra Modi Stadium, Ahmedabad",0,7.67
SZ Mulani,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,15.5
Sandeep Sharma,"Arun Jaitley Stadium, Delhi",3,10.5
Sandeep Sharma,"Barsapara Cricket Stadium, Guwahati",1,5.88
Sandeep Sharma,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,7.5
Sandeep Sharma,"Eden Gardens, Kolkata",1,8.5
Sandeep Sharma,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,10.75
Sandeep Sharma,"M Chinnaswamy Stadium, Bengaluru",3,12
Sandeep Sharma,"MA Chidambaram Stadium, Chepauk, Chennai",3,8.3
Sandeep Sharma,"Narendra Modi Stadium, Ahmedabad",4,9
Sandeep Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,7.25
Sandeep Sharma,"Sawai Mansingh Stadium, Jaipur",10,7.63
Sandeep Sharma,"Wankhede Stadium, Mumbai",1,8.25
Shahbaz Ahmed,"Arun Jaitley Stadium, Delhi",0,22
Shahbaz Ahmed,"Eden Gardens, Kolkata",0,6.5
Shahbaz Ahmed,"M Chinnaswamy Stadium, Bengaluru",0,17.25
Shahbaz Ahmed,"MA Chidambaram Stadium, Chepauk, Chennai",4,8.84
Shahbaz Ahmed,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,10
Shahbaz Ahmed,"Narendra Modi Stadium, Ahmedabad",1,10
Shahbaz Ahmed,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,9.71
Shahbaz Ahmed,"Wankhede Stadium, Mumbai",0,11
Shashank Singh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5
Sikandar Raza,"Arun Jaitley Stadium, Delhi",0,3
Sikandar Raza,"Barsapara Cricket Stadium, Guwahati",0,9
Sikandar Raza,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,10.62
Sikandar Raza,"MA Chidambaram Stadium, Chepauk, Chennai",1,10.33
Sikandar Raza,"Narendra Modi Stadium, Ahmedabad",0,11
Sikandar Raza,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,10.5
Simarjeet Singh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,5.67
Simarjeet Singh,"M Chinnaswamy Stadium, Bengaluru",0,17
Simarjeet Singh,"MA Chidambaram Stadium, Chepauk, Chennai",3,5.5
Simarjeet Singh,"Narendra Modi Stadium, Ahmedabad",1,14.5
Sumit Kumar,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,9.5
Sumit Kumar,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",0,12.75
Suyash Sharma,"Eden Gardens, Kolkata",5,9.18
Suyash Sharma,"M Chinnaswamy Stadium, Bengaluru",3,7.25
Suyash Sharma,"MA Chidambaram Stadium, Chepauk, Chennai",0,9
Suyash Sharma,"Narendra Modi Stadium, Ahmedabad",1,8.5
Suyash Sharma,"Wankhede Stadium, Mumbai",2,6.75
Swapnil Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,11
Swapnil Singh,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,9.33
Swapnil Singh,"M Chinnaswamy Stadium, Bengaluru",1,5.5
Swapnil Singh,"Narendra Modi Stadium, Ahmedabad",1,8.17
Swapnil Singh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,12.67
T Natarajan,"Arun Jaitley Stadium, Delhi",5,6.5
T Natarajan,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7.67
T Natarajan,"Eden Gardens, Kolkata",4,10.25
T Natarajan,"M Chinnaswamy Stadium, Bengaluru",1,11
T Natarajan,"MA Chidambaram Stadium, Chepauk, Chennai",2,8.89
T Natarajan,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,8.25
T Natarajan,"Narendra Modi Stadium, Ahmedabad",2,8
T Natarajan,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",18,9.09
T Natarajan,"Sawai Mansingh Stadium, Jaipur",0,9
T Natarajan,"Wankhede Stadium, Mumbai",0,9.3
T Stubbs,"Arun Jaitley Stadium, Delhi",1,4
T Stubbs,"MA Chidambaram Stadium, Chepauk, Chennai",1,7
T Stubbs,"Narendra Modi Stadium, Ahmedabad",1,10
TA Boult,"Arun Jaitley Stadium, Delhi",1,12
TA Boult,"Barsapara Cricket Stadium, Guwahati",4,8.36
TA Boult,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,8.75
TA Boult,"Eden Gardens, Kolkata",3,6.71
TA Boult,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,8.5
TA Boult,"M Chinnaswamy Stadium, Bengaluru",2,9
TA Boult,"MA Chidambaram Stadium, Chepauk, Chennai",3,10.42
TA Boult,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,4.75
TA Boult,"Narendra Modi Stadium, Ahmedabad",2,7.75
TA Boult,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,6.62
TA Boult,"Sawai Mansingh Stadium, Jaipur",5,7.74
TA Boult,"Wankhede Stadium, Mumbai",4,8
TG Southee,"Eden Gardens, Kolkata",0,12.5
TG Southee,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,13.5
TM Head,"Narendra Modi Stadium, Ahmedabad",0,19.2
TU Deshpande,"Arun Jaitley Stadium, Delhi",1,6.75
TU Deshpande,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,7.8
TU Deshpande,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,5.5
TU Deshpande,"Eden Gardens, Kolkata",2,10
TU Deshpande,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,8.5
TU Deshpande,"M Chinnaswamy Stadium, Bengaluru",4,11.38
TU Deshpande,"MA Chidambaram Stadium, Chepauk, Chennai",25,8.65
TU Deshpande,"Narendra Modi Stadium, Ahmedabad",3,12
TU Deshpande,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,11.5
TU Deshpande,"Sawai Mansingh Stadium, Jaipur",2,10.5
TU Deshpande,"Wankhede Stadium, Mumbai",3,8.57
Tilak Varma,"Arun Jaitley Stadium, Delhi",0,6
Tilak Varma,"Sawai Mansingh Stadium, Jaipur",0,12
UT Yadav,"Arun Jaitley Stadium, Delhi",0,6
UT Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2,7.33
UT Yadav,"Eden Gardens, Kolkata",0,11.62
UT Yadav,"M Chinnaswamy Stadium, Bengaluru",0,19
UT Yadav,"MA Chidambaram Stadium, Chepauk, Chennai",0,13
UT Yadav,"Narendra Modi Stadium, Ahmedabad",6,9.27
UT Yadav,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,6.75
UT Yadav,"Sawai Mansingh Stadium, Jaipur",1,11.25
UT Yadav,"Wankhede Stadium, Mumbai",0,9.5
Umran Malik,"Arun Jaitley Stadium, Delhi",0,22
Umran Malik,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,7
Umran Malik,"Eden Gardens, Kolkata",1,18
Umran Malik,"MA Chidambaram Stadium, Chepauk, Chennai",1,6
Umran Malik,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,9.1
Umran Malik,"Wankhede Stadium, Mumbai",0,14
V Kaverappa,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,9
V Viyaskanth,"Narendra Modi Stadium, Ahmedabad",0,11
V Viyaskanth,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.5
VG Arora,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,10
VG Arora,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",3,6
VG Arora,"Eden Gardens, Kolkata",6,9.39
VG Arora,"M Chinnaswamy Stadium, Bengaluru",0,11
VG Arora,"MA Chidambaram Stadium, Chepauk, Chennai",4,7.09
VG Arora,"Narendra Modi Stadium, Ahmedabad",1,5
VG Arora,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,7.33
VG Arora,"Wankhede Stadium, Mumbai",0,11
VR Iyer,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,28
Vijaykumar Vyshak,"M Chinnaswamy Stadium, Bengaluru",12,9.8
Vijaykumar Vyshak,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2,9.33
Vijaykumar Vyshak,"Wankhede Stadium, Mumbai",3,10.17
Vivrant Sharma,"Sawai Mansingh Stadium, Jaipur",0,8.5
Vivrant Sharma,"Wankhede Stadium, Mumbai",0,11
WD Parnell,"M Chinnaswamy Stadium, Bengaluru",5,10.15
WD Parnell,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,10.67
WD Parnell,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,8.75
WD Parnell,"Sawai Mansingh Stadium, Jaipur",3,3.33
WG Jacks,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,5
WG Jacks,"M Chinnaswamy Stadium, Bengaluru",0,11.5
WG Jacks,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.5
WG Jacks,"Wankhede Stadium, Mumbai",1,12
Washington Sundar,"Arun Jaitley Stadium, Delhi",1,23
Washington Sundar,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,11
Washington Sundar,"Eden Gardens, Kolkata",0,10
Washington Sundar,"MA Chidambaram Stadium, Chepauk, Chennai",0,6
Washington Sundar,"Narendra Modi Stadium, Ahmedabad",0,9
Washington Sundar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",3,8.25
YS Chahal,"Arun Jaitley Stadium, Delhi",1,12
YS Chahal,"Barsapara Cricket Stadium, Guwahati",6,8.75
YS Chahal,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0,10
YS Chahal,"Eden Gardens, Kolkata",5,9.75
YS Chahal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,9.75
YS Chahal,"M Chinnaswamy Stadium, Bengaluru",2,6.5
YS Chahal,"MA Chidambaram Stadium, Chepauk, Chennai",3,6.58
YS Chahal,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2,7.25
YS Chahal,"Narendra Modi Stadium, Ahmedabad",2,9.75
YS Chahal,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",4,9.75
YS Chahal,"Sawai Mansingh Stadium, Jaipur",12,8.76
YS Chahal,"Wankhede Stadium, Mumbai",3,6.29
Yash Dayal,"Arun Jaitley Stadium, Delhi",0,12
Yash Dayal,"Eden Gardens, Kolkata",2,13.92
Yash Dayal,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,10.5
Yash Dayal,"M Chinnaswamy Stadium, Bengaluru",12,8.34
Yash Dayal,"MA Chidambaram Stadium, Chepauk, Chennai",1,9.33
Yash Dayal,"Narendra Modi Stadium, Ahmedabad",1,11.06
Yash Dayal,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,5
Yash Dayal,"Sawai Mansingh Stadium, Jaipur",1,9.25
Yash Thakur,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13,9.19
Yash Thakur,"Eden Gardens, Kolkata",3,11
Yash Thakur,"M Chinnaswamy Stadium, Bengaluru",2,9.75
Yash Thakur,"MA Chidambaram Stadium, Chepauk, Chennai",4,9.5
Yash Thakur,"Narendra Modi Stadium, Ahmedabad",0,11.75
Yash Thakur,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",4,9.65
Yash Thakur,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,11.1
Yash Thakur,"Sawai Mansingh Stadium, Jaipur",0,13.67
Yudhvir Singh,"Arun Jaitley Stadium, Delhi",0,14
Yudhvir Singh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",3,8.8
Yudhvir Singh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,8.33
Yudhvir Singh,"Sawai Mansingh Stadium, Jaipur",0,11
